unnamed_0,deal_num,deal_type,deal_struct,deal_fin,deal_pay_method,deal_pay_method_val_usd,deal_status,rumour_d,announced_d,expected_comp_d,assumed_comp_d,completed_d,postponed_d,withdrawn_d,last_deal_status_d,last_deal_val_up_d,last_deal_status_up_d,last_pct_stake_up_d,last_acq_tar_ven_up_d,last_advisor_up_d,last_comment_up_d,last_up,rumour_d_yr,announced_d_yr,expected_comp_d_yr,assumed_comp_d_yr,completed_d_yr,postponed_d_yr,withdrawn_d_yr,last_deal_status_d_yr,last_deal_val_up_d_yr,last_deal_status_up_d_yr,last_pct_stake_up_d_yr,last_acq_tar_ven_up_d_yr,last_advisor_up_d_yr,last_comment_up_d_yr,last_up_yr
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,70663.0,Acquisition 100%,,Capital increase - vendor placing,Cash,20475136.4616657,Completed,36676.0,36676.0,,,36760.0,,,36760.0,39944.0,38055.0,39944.0,,,,39944.0,2000.0,2000.0,,,2000.0,,,2000.0,2009.0,2004.0,2009.0,,,,2009.0
,,,,,Shares,16765872.6099147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Liabilities,8753862.69013245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1909117336.0,Acquisition 100%- Bid 1- Withdrawn,Public takeover - Withdrawn,Capital increase - vendor placing,Shares,n.a.,Withdrawn,41813.0,42132.0,,,,,42240.0,42240.0,42410.0,42241.0,,,42200.0,42410.0,42410.0,2014.0,2015.0,,,,,2015.0,2015.0,2016.0,2015.0,,,2015.0,2016.0,2016.0
,,,Unsolicited bid,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hostile bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1941704614.0,Acquisition 100%,Patent sale,Leverage,Liabilities,n.a.,Completed,44729.0,44998.0,,,45274.0,,,45274.0,45006.0,45275.0,,,45006.0,45275.0,45275.0,2022.0,2023.0,,,2023.0,,,2023.0,2023.0,2023.0,,,2023.0,2023.0,2023.0
,,,Recommended bid,New bank facilities,Cash,43000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,Cash Reserves,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,1943212740.0,Acquisition increased from 66.21% to 100%,Public takeover,New bank facilities,Cash,41054256.5717135,Completed,44103.0,44103.0,,,44190.0,,,44190.0,,44194.0,,,44169.0,44194.0,44194.0,2020.0,2020.0,,,2020.0,,,2020.0,,2020.0,,,2020.0,2020.0,2020.0
,,,Recommended bid,Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,64729.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Shares,n.a.,Completed,36696.0,36696.0,,,36868.0,,,36868.0,39941.0,38996.0,39941.0,,38142.0,41313.0,41313.0,2000.0,2000.0,,,2000.0,,,2000.0,2009.0,2006.0,2009.0,,2004.0,2013.0,2013.0
,,,Recommended bid,,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,1909167612.0,Acquisition 100%,Recommended bid,Leveraged buy out,Shares,25791552,Withdrawn,41956.0,41960.0,,,,,42490.0,42490.0,41960.0,42492.0,,,42034.0,42492.0,42492.0,2014.0,2014.0,,,,,2016.0,2016.0,2014.0,2016.0,,,2015.0,2016.0,2016.0
,,,Leveraged buy out,New bank facilities,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,Capital increase - vendor placing,Cash,8219381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,1909251750.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Shares,n.a.,Withdrawn,42061.0,42188.0,,,,,42780.0,42780.0,,42780.0,,,,42780.0,42780.0,2015.0,2015.0,,,,,2017.0,2017.0,,2017.0,,,,2017.0,2017.0
,,,Recommended bid,Leverage,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,New bank facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Patent sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,2007443106.0,Acquisition 100%,Public takeover,Capital increase - vendor placing,Shares,35300000,Completed,45341.0,45341.0,,,45795.0,,,45795.0,,,,,,45441.0,45441.0,2024.0,2024.0,,,2025.0,,,2025.0,,,,,,2024.0,2024.0
,,,Patent sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,1941528737.0,Acquisition 100%,Contested bid,Capital increase - vendor placing,Shares,n.a.,Withdrawn,44043.0,44329.0,,,,,44454.0,44454.0,44334.0,44456.0,,,44428.0,44456.0,44456.0,2020.0,2021.0,,,,,2021.0,2021.0,2021.0,2021.0,,,2021.0,2021.0,2021.0
,,,Patent sale,Leverage,Liabilities,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,New bank facilities,Cash Reserves,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Unsolicited bid,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover - Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,47886.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,33191517.9167339,Completed,36138.0,36138.0,,,36256.0,,,36256.0,41124.0,,,,,41124.0,41124.0,1998.0,1998.0,,,1999.0,,,1999.0,2012.0,,,,,2012.0,2012.0
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,95816.0,Acquisition 100%,Public takeover - Withdrawn,New bank facilities,Liabilities,1900000,Withdrawn,37108.0,37108.0,,,,,37966.0,37966.0,41138.0,41123.0,37592.0,37592.0,37592.0,41123.0,41138.0,2001.0,2001.0,,,,,2003.0,2003.0,2012.0,2012.0,2002.0,2002.0,2002.0,2012.0,2012.0
,,,Public takeover,Capital increase - vendor placing,Shares,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,449420.0,Acquisition 100% - Bid 2 - Withdrawn,Hostile bid,New bank facilities,Liabilities,n.a.,Withdrawn,38744.0,38856.0,,,,,38903.0,38903.0,,,,,39244.0,38891.0,39244.0,2006.0,2006.0,,,,,2006.0,2006.0,,,,,2007.0,2006.0,2007.0
,,,Public takeover - Withdrawn,Capital increase - vendor placing,Shares,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Unsolicited bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,2007615619.0,Acquisition 100%,Exit,,Cash,32000000,Pending - awaiting regulatory approval,45487.0,45734.0,46387.0,,,,,45734.0,,45498.0,,45495.0,45495.0,45498.0,45498.0,2024.0,2025.0,2026.0,,,,,2025.0,,2024.0,,2024.0,2024.0,2024.0,2024.0
,,,Patent sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,68114.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Cash,31566247.7685293,Completed,36451.0,36454.0,,,36612.0,,,36612.0,39952.0,,39952.0,,,,39952.0,1999.0,1999.0,,,2000.0,,,2000.0,2009.0,,2009.0,,,,2009.0
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,1941577802.0,Acquisition 100%,Unsolicited bid,Leverage,Shares,n.a.,Completed,44043.0,44454.0,,,44544.0,,,44544.0,44456.0,44547.0,,,44579.0,45005.0,45005.0,2020.0,2021.0,,,2021.0,,,2021.0,2021.0,2021.0,,,2022.0,2023.0,2023.0
,,,Hostile bid,Capital increase - vendor placing,Liabilities,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,New bank facilities,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contested bid,,Cash Reserves,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,57325.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,n.a.,Completed,36584.0,36584.0,,,36755.0,,,36755.0,41131.0,38457.0,,42908.0,42908.0,41131.0,42908.0,2000.0,2000.0,,,2000.0,,,2000.0,2012.0,2005.0,,2017.0,2017.0,2012.0,2017.0
,,,Public takeover,New bank facilities,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,64317.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,n.a.,Completed,36717.0,36731.0,,,37043.0,,,37043.0,41173.0,38911.0,,,39108.0,41173.0,41173.0,2000.0,2000.0,,,2001.0,,,2001.0,2012.0,2006.0,,,2007.0,2012.0,2012.0
,,,Public takeover,,Cash,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,2007535884.0,Acquisition 100%,Exit - new stake,Capital increase - vendor placing,Cash,4500000,Pending - awaiting regulatory approval,45421.0,45667.0,46022.0,,,,,45667.0,,,,,,,,2024.0,2025.0,2025.0,,,,,2025.0,,,,,,,
,,,Dual Track,,Shares,20900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Patent sale,,Cash Reserves,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
